iter	RMSE
0	2.19786163
1	2.094814763
2	1.997683825
3	1.895877227
4	1.80508513
5	1.727652253
6	1.637219382
7	1.562797273
8	1.486278682
9	1.41921927
10	1.358365218
11	1.299551645
12	1.236355328
13	1.17970774
14	1.138694793
15	1.104249115
16	1.051085961
17	1.020628991
18	0.9765073054
19	0.9391647759
20	0.8959696358
21	0.8661817872
22	0.8316186268
23	0.8060475409
24	0.7757127377
25	0.7466982338
26	0.72369081
27	0.6972105352
28	0.6800993718
29	0.6564539832
30	0.63899727
31	0.6249180281
32	0.6070418646
33	0.5950840997
34	0.5783763214
35	0.5611234637
36	0.5446408087
37	0.5286941852
38	0.5129566792
39	0.4976743164
40	0.4850193255
41	0.4719974503
42	0.4642568087
43	0.4519428444
44	0.4388778415
45	0.4250793237
46	0.4163754061
47	0.4046480805
48	0.3931562553
49	0.3838901739
50	0.3760333804
51	0.3662434682
52	0.356233666
53	0.3492638689
54	0.3382602487
55	0.3353160004
56	0.3265992575
57	0.3196203126
58	0.3172150736
59	0.3155627841
60	0.3083491426
61	0.3012417978
62	0.2987903357
63	0.2912213055
64	0.2895931516
65	0.2805715035
66	0.2790379024
67	0.2718138755
68	0.2700947264
69	0.2631031277
70	0.2562375799
71	0.2546367762
72	0.249208194
73	0.2477058357
74	0.2415109916
75	0.2401050908
76	0.2387813989
77	0.2376375017
78	0.2311969629
79	0.2256870492
80	0.2218161739
81	0.2207017328
82	0.2181028672
83	0.2124305826
84	0.2094561183
85	0.2068954182
86	0.2030660836
87	0.2021721854
88	0.196850765
89	0.1924709685
90	0.1882843633
91	0.1874875928
92	0.1823875681
93	0.1778119705
94	0.1769658221
95	0.1746260489
96	0.1708283195
97	0.1701591424
98	0.1692157575
99	0.1656905396
