iter	Passed	Remaining
0	0	67
1	1	56
2	1	52
3	2	48
4	2	45
5	2	44
6	3	43
7	3	42
8	4	41
9	4	40
10	4	39
11	5	38
12	5	38
13	6	37
14	6	36
15	6	36
16	7	35
17	7	35
18	8	34
19	8	33
20	8	33
21	9	32
22	9	32
23	10	32
24	10	31
25	10	30
26	11	30
27	11	30
28	12	29
29	12	29
30	12	28
31	13	28
32	13	27
33	14	27
34	14	26
35	15	26
36	15	26
37	15	25
38	16	25
39	16	25
40	17	24
41	17	24
42	18	23
43	18	23
44	18	23
45	19	22
46	19	22
47	20	21
48	20	21
49	20	20
50	21	20
51	21	20
52	22	19
53	22	19
54	23	18
55	23	18
56	23	18
57	24	17
58	24	17
59	25	16
60	25	16
61	25	15
62	26	15
63	26	15
64	27	14
65	27	14
66	28	13
67	28	13
68	28	12
69	29	12
70	29	12
71	30	11
72	30	11
73	30	10
74	31	10
75	31	10
76	32	9
77	32	9
78	32	8
79	33	8
80	33	7
81	34	7
82	34	7
83	34	6
84	35	6
85	35	5
86	36	5
87	36	4
88	37	4
89	37	4
90	37	3
91	38	3
92	38	2
93	39	2
94	39	2
95	39	1
96	40	1
97	40	0
98	41	0
99	41	0
