iter	RMSE
0	2.248321626
1	2.132369517
2	2.019648862
3	1.91748623
4	1.826174599
5	1.719069514
6	1.62720808
7	1.546237027
8	1.47446357
9	1.406430254
10	1.33503236
11	1.276673846
12	1.228885957
13	1.172848946
14	1.124115352
15	1.072683441
16	1.021813001
17	0.9826499302
18	0.9431415926
19	0.9080834897
20	0.8793593003
21	0.8500508605
22	0.8205366634
23	0.7918528012
24	0.7602042937
25	0.7368889148
26	0.7089486521
27	0.6817183701
28	0.6626493355
29	0.6382561743
30	0.6177831992
31	0.6032348049
32	0.5874860298
33	0.5707536821
34	0.5566589345
35	0.5401769467
36	0.5256429055
37	0.509816765
38	0.5028155442
39	0.4882130788
40	0.4735662645
41	0.4622552737
42	0.4482733435
43	0.4351001663
44	0.4244416426
45	0.4135037782
46	0.406182536
47	0.3947718851
48	0.3857728155
49	0.3787875352
50	0.3685511569
51	0.3595044673
52	0.3502716983
53	0.3418893419
54	0.3339235482
55	0.3275088112
56	0.3234324526
57	0.3184769847
58	0.3113490498
59	0.3097926106
60	0.3049957312
61	0.2987948527
62	0.2974645933
63	0.2951184204
64	0.2919055375
65	0.2900536365
66	0.2886373878
67	0.2866053585
68	0.2845630724
69	0.2765044871
70	0.2687438936
71	0.2642648123
72	0.2627248435
73	0.2549475858
74	0.2535454074
75	0.2481644289
76	0.2459777849
77	0.2403045564
78	0.23919838
79	0.2322472415
80	0.2311833922
81	0.2259769542
82	0.2194316001
83	0.2186183214
84	0.2156185611
85	0.2148708758
86	0.2093479659
87	0.2034993772
88	0.2025055779
89	0.1991961865
90	0.195715071
91	0.195078517
92	0.1914842449
93	0.1881377462
94	0.1849592604
95	0.1823402268
96	0.1793459478
97	0.1773509782
98	0.1755983285
99	0.1749958145
