iter	Passed	Remaining
0	1	99
1	1	74
2	2	67
3	2	65
4	3	60
5	3	57
6	4	55
7	4	52
8	5	52
9	5	51
10	6	51
11	6	51
12	7	51
13	8	50
14	8	50
15	9	50
16	10	50
17	10	49
18	11	48
19	11	47
20	12	46
21	13	46
22	13	46
23	14	45
24	14	44
25	15	43
26	15	42
27	16	41
28	16	40
29	17	40
30	17	39
31	18	38
32	18	37
33	19	37
34	19	36
35	20	36
36	20	35
37	21	34
38	21	34
39	22	33
40	22	32
41	23	32
42	23	31
43	24	30
44	24	30
45	25	29
46	25	29
47	26	28
48	27	28
49	27	27
50	28	27
51	28	26
52	29	25
53	29	25
54	30	24
55	30	24
56	31	23
57	31	23
58	32	22
59	32	21
60	33	21
61	34	20
62	34	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	16
69	38	16
70	38	15
71	39	15
72	39	14
73	40	14
74	40	13
75	41	13
76	41	12
77	42	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	6
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	51	2
95	51	2
96	51	1
97	52	1
98	53	0
99	53	0
